,startid,startname,startyear,startcount,startlatitude,startlongitude,zipcode
0,3640,Journal Square,2017,666,40.73367,-74.0625,07306
1,3426,JCBS Depot,2017,7,40.70965083364061,-74.06860113143921,07311
2,3639,Harborside,2017,2076,40.7192517,-74.034234,07302
3,3200,MLK Light Rail,2017,245,40.7111305,-74.0788855,07304
4,3216,Columbia Park,2017,256,40.6970299,-74.0969366,07305
5,3268,Lafayette Park,2017,2331,40.71346382669195,-74.06285852193832,07311
6,3215,Central Ave,2017,879,40.7467299,-74.0492509,07307
7,3197,North St,2017,820,40.752559,-74.044725,07307
8,3271,Danforth Light Rail,2017,238,40.69263996618329,-74.08801227807997,07305
9,3220,5 Corners Library,2017,2125,40.734961020009514,-74.0595030784607,07306
10,3207,Oakland Ave,2017,4677,40.7376037,-74.0524783,07307
11,3185,City Hall,2017,8422,40.7177325,-74.043845,07302
12,3184,Paulus Hook,2017,8036,40.7141454,-74.0335519,07302
13,3199,Newport Pkwy,2017,8610,40.7287448,-74.0321082,07310
14,3280,Astor Place,2017,2147,40.71928220070702,-74.07126188278198,07304
15,3190,Garfield Ave Station,2017,1109,40.7104670233797,-74.07003879547119,07304
16,3193,Lincoln Park,2017,2349,40.7246050998869,-74.07840594649315,07304
17,3269,Brunswick & 6th,2017,6264,40.72601172964625,-74.05038893222809,07302
18,3272,Jersey & 3rd,2017,7366,40.72333158646436,-74.04595255851744,07302
19,3210,Pershing Field,2017,2779,40.742677141,-74.051788633,07307
20,3267,Morris Canal,2017,12251,40.7124188237569,-74.03852552175522,07302
21,3196,Riverview Park,2017,1734,40.7443187,-74.0439909,07307
22,3195,Sip Ave,2017,15597,40.73074262530658,-74.06378388404846,07306
23,3275,Columbus Drive,2017,7009,40.71835519823214,-74.03891444206238,07302
24,3213,Van Vorst Park,2017,9035,40.71848892,-74.047726625,07302
25,3270,Jersey & 6th St,2017,6865,40.72528910781132,-74.04557168483734,07302
26,3276,Marin Light Rail,2017,7918,40.71458403535893,-74.04281705617905,07302
27,3183,Exchange Place,2017,19394,40.7162469,-74.0334588,07302
28,3206,Hilltop,2017,2542,40.7311689,-74.0575736,07306
29,3426,JCBS Depot,2016,1,40.70965083364061,-74.06860113143921,07311
30,3280,Astor Place,2016,177,40.71928220070702,-74.07126188278198,07304
31,3269,Brunswick & 6th,2016,859,40.72601172964625,-74.05038893222809,07302
32,3281,Leonard Gordon Park,2016,558,40.74590996631558,-74.0572714805603,07307
33,3274,Bethune Center,2016,29,40.704957516728605,-74.08593088388443,07305
34,3275,Columbus Drive,2016,2770,40.71835519823214,-74.03891444206238,07302
35,3276,Marin Light Rail,2016,4163,40.71458403535893,-74.04281705617905,07302
36,3278,Monmouth and 6th,2016,3393,40.72568548362901,-74.04879033565521,07302
37,3268,Lafayette Park,2016,835,40.71346382669195,-74.06285852193832,07311
